ParticipantID,Mode,First,illum_order,Illuminant,Lightness,Rep,RGB_1,RGB_2,RGB_3,Lab Grid_1,Lab Grid_2,Lab Grid_3,Idx_1,Idx_2,XYZ_1,XYZ_2,XYZ_3,xyY_1,xyY_2,xyY_3,uvY_1,uvY_2,uvY_3,WhiteXYZ_1_1,WhiteXYZ_1_2,WhiteXYZ_1_3,CI_1,delta_uv_1,recenter_uv_1,recenter_uv_2,CI_1_recenter,delta_uv_1_recenter,WhiteXYZ_2_1,WhiteXYZ_2_2,WhiteXYZ_2_3,CI_2,delta_uv_2,recenter_uv_2_1,recenter_uv_2_2,CI_2_recenter,delta_uv_2_recenter
37,Flat,1,y r b g,b,L70,1,0.453715473413467,0.389568597078323,0.352756947278976,70,0,6,5,7,16.2230606079102,16.7443351745605,27.9523143768311,0.266302327530576,0.274859074850734,16.7443351745605,0.184749211059216,0.429042415173576,16.7443351745605,27.5672753651937,29.2447020212809,28.0767319997152,0.924048662185669,0.00302251474931836,0.183857187628746,0.415233045816422,1.1615229845047,0.00712880818173289,17.0107401741876,17.9251024458143,18.1232175297207,0.854494869709015,0.00190798449330032,0.183529227972031,0.421093136072159,0.995736539363861,0.003611979
37,Flat,1,y r b g,b,L70,2,0.537007093429565,0.384995967149734,0.29200479388237,70,0,14,9,7,16.2230587005615,16.7443351745605,23.4972991943359,0.287313324817073,0.296545226128531,16.7443351745605,0.192057055445676,0.446013447824611,16.7443351745605,27.5672753651937,29.2447020212809,28.0767319997152,0.592279136180878,0.00377674191258848,0.190526470541954,0.433466643095016,0.812670290470123,0.00683513423427939,17.0107401741876,17.9251024458143,18.1232175297207,0.522725403308868,0.00266221165657043,0.190447583794594,0.438814520835876,0.653878509998322,0.003734115
37,Flat,1,y r b g,b,L70,3,0.55598247051239,0.383934289216995,0.277657806873322,70,0,16,10,7,16.2230587005615,16.7443351745605,22.4629058837891,0.292674922761056,0.302079101996353,16.7443351745605,0.193837309014982,0.450147724644619,16.7443351745605,27.5672753651937,29.2447020212809,28.0767319997152,0.511457443237305,0.00396048650145531,0.192159831523895,0.437932342290878,0.727230966091156,0.00676315231248736,17.0107401741876,17.9251024458143,18.1232175297207,0.441903650760651,0.00284595624543726,0.192138150334358,0.443145155906677,0.570338129997253,0.003763872
37,Flat,1,y r b g,y,L40,1,0.0990126356482506,0.100362688302994,0.124036103487015,40,0,-8,6,5,5.8079047203064,5.79884147644043,4.26966762542725,0.36581968606756,0.365248823908922,5.79884147644043,0.219997370610666,0.494221644877422,5.79884147644043,7.8022092183431,8.07450612386068,9.41955582300822,0.779713332653046,-0.000712805893272161,0.219749614596367,0.498519271612167,0.848302721977234,-0.00338005367666483,17.0107401741876,17.9251024458143,18.1232175297207,0.567198812961578,0.00488286884501576,0.217425480484962,0.48971039056778,0.462236642837524,0.005362531
37,Flat,1,y r b g,y,L40,2,0.100726783275604,0.100113898515701,0.113256566226482,40,0,-6,5,5,5.8079047203064,5.79884147644043,4.02929735183716,0.371443370713326,0.370863732786519,5.79884147644043,0.221510002914988,0.497619756516039,5.79884147644043,7.8022092183431,8.07450612386068,9.41955582300822,0.853833496570587,-0.00142202479764819,0.221294447779655,0.501728653907776,0.919659018516541,-0.00395466107875109,17.0107401741876,17.9251024458143,18.1232175297207,0.641319036483765,0.00417363736778498,0.218888089060783,0.493322312831879,0.539330422878265,0.004489728
37,Flat,1,y r b g,y,L40,3,0.0941474661231041,0.102999642491341,0.112900294363499,40,-2,-6,5,4,5.66473007202148,5.79884147644043,4.02929735183716,0.365634674150772,0.374291005349467,5.79884147644043,0.216344750471745,0.498300010179574,5.79884147644043,7.8022092183431,8.07450612386068,9.41955582300822,0.805024325847626,-0.00604384252801538,0.216086998581886,0.502420008182526,0.870543241500854,-0.00861743092536926,17.0107401741876,17.9251024458143,18.1232175297207,0.592509865760803,-0.000448180246166885,0.213745385408401,0.493995755910873,0.490670472383499,-0.0001097138
37,Flat,1,y r b g,y,L55,1,0.219739943742752,0.220438539981842,0.232814759016037,55,0,-4,4,6,11.8366937637329,11.8182220458984,7.54716491699219,0.379355911147077,0.37876390838943,11.8182220458984,0.223595916728702,0.502305715743293,11.8182220458984,15.6627359390259,16.4560991923014,16.8733647664388,0.761215031147003,0.00245398958213627,0.220881134271622,0.499154776334763,0.67721289396286,0.0020366027019918,17.0107401741876,17.9251024458143,18.1232175297207,0.743530094623566,0.00319564458914101,0.220907360315323,0.4983089864254,0.645766913890839,0.003284718
37,Flat,1,y r b g,y,L55,2,0.208303421735764,0.222225904464722,0.303262859582901,55,0,-12,8,6,11.8366947174072,11.8182220458984,9.07260417938232,0.361674039965798,0.361109601506156,11.8182220458984,0.21886586266294,0.491679662793121,11.8182220458984,15.6627359390259,16.4560991923014,16.8733647664388,0.529438078403473,0.00467178924009204,0.216283321380615,0.48798343539238,0.437906473875046,0.00467540696263313,17.0107401741876,17.9251024458143,18.1232175297207,0.511753022670746,0.00541342701762915,0.216332405805588,0.487010896205902,0.40461865067482,0.00601491
37,Flat,1,y r b g,y,L55,3,0.214197024703026,0.221304818987846,0.264414012432098,55,0,-8,6,6,11.8366937637329,11.8182220458984,8.28649806976318,0.370575135102857,0.369996835159586,11.8182220458984,0.221278130413681,0.497098834817469,11.8182220458984,15.6627359390259,16.4560991923014,16.8733647664388,0.647641718387604,0.00354072009213269,0.218626752495766,0.493677049875259,0.559873104095459,0.00333057902753353,17.0107401741876,17.9251024458143,18.1232175297207,0.629956722259521,0.00428237486630678,0.218663796782494,0.492768228054047,0.527504742145538,0.004623696
37,Flat,1,y r b g,y,L70,1,0.428420931100845,0.389564871788025,0.431792199611664,70,4,-4,4,9,21.7237339019775,21.0025730133057,13.191481590271,0.388494153337623,0.375597347009164,21.0025730133057,0.230896743663372,0.502271290617624,21.0025730133057,27.5672753651937,29.2447020212809,28.0767319997152,0.757197141647339,0.011216389015317,0.227506622672081,0.495288372039795,0.60160505771637,0.0124429482966661,17.0107401741876,17.9251024458143,18.1232175297207,0.827937483787537,0.00919676385819912,0.228172466158867,0.498340100049973,0.730848491191864,0.009218975
